,supplier_id,account_id,date_issue,timestamp,company_id,id,credit,amount,descrition,file,debit,balance,name,slug,department_id
2,16,,2012-06-30,2012-07-27 16:16:47.052819,2,4,100.0,100.0,INSPECCION,,,,INSPECCION,inspeccion,0.0
3,16,,2012-06-30,2012-07-27 16:16:47.052819,2,5,993.15,993.15,N/FRA C67,,,,N/FRA C67,nfra-c67,0.0
4,26,,2012-07-20,2012-07-27 16:16:47.052819,1,6,50.74,50.74,VALORACION ASISTENCIA,,,,VALORACION ASISTENCIA,valoracion-asistencia,0.0
5,26,,2012-07-20,2012-07-27 16:16:47.052819,1,7,327.45,327.45,VALORACION ASISTENCIA,,,,VALORACION ASISTENCIA,valoracion-asistencia-2,0.0
6,54,,2012-07-02,2012-07-30 15:33:26,1,8,94.4,94.4,PAGO OPERARIO,,,,PAGO OPERARIO,pago-operario,0.0
7,98,,2012-07-10,2012-08-08 11:51:34.267324,1,9,3514.13,3514.13,EFECTIVO PEPE,,,,EFECTIVO PEPE,efectivo-pepe,0.0
8,123,,2012-07-26,2012-08-30 15:36:38.440802,1,10,1664.0,1664.0,INGRESO TALON BANCAJA,,,,INGRESO TALON BANCAJA,ingreso-talon-bancaja,0.0
9,48,,2012-09-25,2012-10-15 15:27:44.618849,2,11,2650.0,2650.0,IVA,,,,IVA,iva,0.0
10,48,,2012-09-25,2012-10-15 15:28:04.622726,2,12,1875.0,1875.0,IVA,,,,IVA,iva-2,0.0
11,48,,2012-09-25,2012-10-15 15:28:25.791362,2,13,970.0,970.0,IVA,,,,IVA,iva-3,0.0
16,48,,2012-09-25,2012-11-19 16:51:17.082659,2,25,1725.0,1725.0,IVA,,,,IVA,iva-4,0.0
17,48,,2012-09-14,2012-11-19 16:53:42.880362,2,26,2475.0,2475.0,IVA,,,,IVA,iva-5,0.0
18,32,,2012-11-21,2012-11-21 09:05:52.825187,2,27,4018.65,4018.65,RENOVACIONES,,,,RENOVACIONES,renovaciones,0.0
25,251,,2013-01-23,2013-01-23 16:51:10.673028,1,35,547.5,547.5,A CTA,,,,A CTA,a-cta,0.0
26,290,,2013-02-08,2013-02-08 15:16:19.033153,1,36,91.0,91.0,PAGO LORENZO,,,,PAGO LORENZO,pago-lorenzo,0.0
28,215,,2013-04-18,2013-04-19 14:48:39.679841,1,38,882.24,882.24,Mallorca,,,,Mallorca,mallorca,0.0
30,38,,2013-05-22,2013-05-22 10:12:45.187538,2,40,800.0,800.0,INGRESO CUENTA,,,,INGRESO CUENTA,ingreso-cuenta,0.0
33,244,,2013-07-05,2013-08-05 08:38:04.852698,1,43,400.51,400.51,MONSERRAT,,,,MONSERRAT,monserrat-2,0.0
36,244,,2013-09-09,2013-09-16 10:41:18.957483,1,47,400.51,400.51,MONSERRAT,,,,MONSERRAT,monserrat-3,0.0
37,38,,2013-09-16,2013-09-16 11:28:29.617586,2,48,1000.0,1000.0,A CTA. FRAS,,,,A CTA. FRAS,a-cta-fras,0.0
38,530,,2013-09-30,2013-10-01 15:12:27.582704,2,49,2170.0,2170.0,PAGADO EFECTIVO MANU,,,,PAGADO EFECTIVO MANU,pagado-efectivo-manu,0.0
39,38,,2013-10-21,2013-10-21 10:54:57.556804,3,50,1000.0,1000.0,FRAS. A CTA,,,,FRAS. A CTA,fras-a-cta,0.0
42,6,,2013-10-13,2013-11-26 08:42:42.487036,2,53,55.66,55.66,FRA. ELEC. MIMBRERA I VAZQUEZ 151/C,,,,FRA. ELEC. MIMBRERA I VAZQUEZ 151/C,fra-elec-mimbrera-i-vazquez-151c,0.0
43,111,,2012-07-31,2013-11-27 12:35:04.210778,3,54,300.38,300.38,CAJA,,,,CAJA,caja,0.0
45,48,,2013-12-09,2013-12-09 10:29:08.830193,1,56,300.0,300.0,EFECTIVO,,,,EFECTIVO,efectivo-2,0.0
46,10,,2013-11-26,2014-01-08 11:17:55.033403,1,58,45.0,45.0,GASTOS PAGARÉ,,,,GASTOS PAGARÉ,gastos-pagare,0.0
47,106,,2013-12-17,2014-01-08 11:32:46.480563,1,59,211.0,211.0,INGRESO EN EFECTIVO,,,,INGRESO EN EFECTIVO,ingreso-en-efectivo,0.0
48,628,,2013-11-21,2014-01-08 15:25:11.926494,1,60,275.0,275.0,EFECTIVO A CTA.,,,,EFECTIVO A CTA.,efectivo-a-cta,0.0
49,628,,2013-11-26,2014-01-08 15:25:25.314059,1,61,275.0,275.0,EFECTIVO A CTA.,,,,EFECTIVO A CTA.,efectivo-a-cta-2,0.0
50,628,,2013-11-27,2014-01-08 15:25:45.045225,1,62,550.0,550.0,EFECTIVO A CTA.,,,,EFECTIVO A CTA.,efectivo-a-cta-3,0.0
51,628,,2013-12-05,2014-01-08 15:26:00.743625,1,63,180.0,180.0,EFECTIVO A CTA.,,,,EFECTIVO A CTA.,efectivo-a-cta-4,0.0
52,628,,2013-12-10,2014-01-08 15:26:12.934679,1,64,175.0,175.0,EFECTIVO A CTA.,,,,EFECTIVO A CTA.,efectivo-a-cta-5,0.0
53,628,,2013-12-11,2014-01-08 15:26:28.185572,1,65,280.0,280.0,EFECTIVO A CTA.,,,,EFECTIVO A CTA.,efectivo-a-cta-6,0.0
57,593,,2013-12-18,2014-02-03 08:16:17.939940,1,69,-32.15,-32.15,INGRESO EFECTIVO,,,,INGRESO EFECTIVO,ingreso-efectivo,0.0
58,618,,2014-02-19,2014-02-19 09:38:59.243271,2,70,159848.01,159848.01,REGUL. CUENTA,,,,REGUL. CUENTA,regul-cuenta,0.0
59,618,,2014-02-19,2014-02-19 09:39:26.789326,3,71,23829.0,23829.0,REGUL. CUENTA,,,,REGUL. CUENTA,regul-cuenta-2,0.0
60,38,,2014-02-19,2014-02-19 09:46:36.884136,1,72,2000.0,2000.0,REGUL. CUENTA,,,,REGUL. CUENTA,regul-cuenta-3,0.0
61,576,,2014-02-20,2014-02-20 16:30:11.758098,1,73,181.5,181.5,DESCUENTOS,,,,DESCUENTOS,descuentos,0.0
62,697,,2014-01-15,2014-02-24 09:41:47.330176,1,74,13.2,13.2,CONTADO,,,,CONTADO,contado,0.0
63,697,,2014-01-15,2014-02-24 09:42:34.573865,1,75,13.2,13.2,CONTADO,,,,CONTADO,contado-2,0.0
65,48,,2014-02-25,2014-02-25 11:37:39.339107,1,77,-312.4,-312.4,IVA FRA. H-14,,,,IVA FRA. H-14,iva-fra-h-14,0.0
66,262,,2014-03-03,2014-03-03 16:02:02.993643,2,79,966.32,966.32,RECIBO,,,,RECIBO,recibo-2,0.0
70,38,,2014-02-25,2014-03-14 12:39:12.565350,2,83,1500.0,1500.0,EFECTIVO,,,,EFECTIVO,efectivo-4,0.0
71,720,,2014-02-28,2014-03-24 11:53:53.951514,1,84,19.0,19.0,EFECTIVO (FIANZA),,,,EFECTIVO (FIANZA),efectivo-fianza,0.0
73,156,,2014-03-31,2014-04-03 14:05:10.624074,1,86,500.0,500.0,INGRESO EFECTIVO,,,,INGRESO EFECTIVO,ingreso-efectivo-2,0.0
75,640,,2014-02-28,2014-04-29 07:08:19.282271,1,89,725.38,725.38,EFECTIVO MANU,,,,EFECTIVO MANU,efectivo-manu,0.0
77,48,,2014-04-04,2014-04-30 15:47:10.221484,1,91,-188.93,-188.93,IVA FRA. 1214-14,,,,IVA FRA. 1214-14,iva-fra-1214-14,0.0
78,48,,2014-04-04,2014-04-30 15:47:42.626807,1,92,-298.66,-298.66,IVA FRA. 1213-14,,,,IVA FRA. 1213-14,iva-fra-1213-14,0.0
81,827,,2014-06-03,2014-06-03 15:35:36.066319,1,95,300.0,300.0,A CTA RAUL BOSCA,,,,A CTA RAUL BOSCA,a-cta-raul-bosca,0.0
82,148,,2014-06-23,2014-06-25 08:23:52.692299,2,96,2000.0,2000.0,TARJETA,,,,TARJETA,tarjeta,0.0
84,783,,2014-06-17,2014-07-04 10:39:15.044212,1,98,-2543.95,-2543.95,EL HOTEL NOS ABONA LA TRANSFERENCIA POPULAR,,,,EL HOTEL NOS ABONA LA TRANSFERENCIA POPULAR,el-hotel-nos-abona-la-transferencia-popular,0.0
