Type;ID;Date;Amount
Dom ;2.166 ;02/03/2016 17:24 ;11.631,18
Dom ;2.199 ;21/03/2016 17:41 ;14.271,48
Cash ;206 ;21/03/2016 17:43 ;3.504,0
Cash ;207 ;21/03/2016 17:44 ;2.415,0
Cash ;208 ;21/03/2016 17:45 ;8.352,48
Dom ;2.200 ;21/03/2016 17:59 ;21.801,99
Cash ;209 ;21/03/2016 18:00 ;5.352,24
Cash ;210 ;21/03/2016 18:04 ;7.533,35
Cash ;211 ;21/03/2016 18:07 ;8.916,0
Cash ;256 ;10/05/2016 17:11 ;11.231,51
Cash ;257 ;10/05/2016 17:13 ;20.650,92
Dom ;2.339 ;10/05/2016 17:13 ;31.882,43
Cash ;264 ;13/05/2016 11:41 ;15.901,54
Cash ;265 ;13/05/2016 11:45 ;177,57
Dom ;2.351 ;13/05/2016 11:49 ;15.910,54
Dom ;2.356 ;16/05/2016 18:00 ;3.730,4
Cash ;268 ;16/05/2016 18:11 ;1.350,66
Cash ;269 ;16/05/2016 18:12 ;1.278,64
Cash ;270 ;16/05/2016 18:16 ;1.101,1
Cash ;281 ;26/05/2016 10:24 ;1.815,0
Cash ;282 ;26/05/2016 10:25 ;2.623,28
Cash ;283 ;26/05/2016 10:26 ;1.084,25
Cash ;284 ;30/05/2016 17:19 ;4.659,71
Cash ;285 ;30/05/2016 17:21 ;1.430,0
Dom ;2.430 ;30/05/2016 17:24 ;6.089,71
Dom ;2.450 ;02/06/2016 18:13 ;37.318,09
Cash ;296 ;02/06/2016 18:15 ;30.813,13
Cash ;297 ;02/06/2016 18:16 ;6.504,96
Cash ;313 ;20/06/2016 10:34 ;2.570,34
Cash ;314 ;20/06/2016 10:36 ;3.680,71
Cash ;315 ;20/06/2016 10:38 ;3.898,86
Dom ;2.502 ;20/06/2016 10:41 ;10.149,91
Cash ;338 ;01/07/2016 17:22 ;2.570,04
Cash ;339 ;01/07/2016 17:49 ;3.970,32
Dom ;2.544 ;01/07/2016 17:50 ;6.540,36
Dom ;2.565 ;07/07/2016 17:38 ;10.662,49
Cash ;342 ;07/07/2016 17:39 ;2.799,95
Cash ;343 ;07/07/2016 17:40 ;2.648,04
Cash ;344 ;07/07/2016 17:41 ;5.214,5
Cash ;353 ;14/07/2016 16:56 ;3.121,8
Cash ;354 ;14/07/2016 16:57 ;3.510,0
Dom ;2.595 ;14/07/2016 17:00 ;6.631,8
Cash ;368 ;25/07/2016 17:16 ;5.442,19
Cash ;421 ;14/09/2016 09:50 ;1.507,56
Cash ;422 ;14/09/2016 09:50 ;1.882,15
Cash ;423 ;14/09/2016 09:51 ;1.095,91
Cash ;424 ;14/09/2016 09:54 ;16.725,42
Cash ;429 ;15/09/2016 12:00 ;3.593,2
Cash ;430 ;15/09/2016 12:01 ;1.637,37
Cash ;431 ;15/09/2016 12:02 ;1.519,0
Cash ;432 ;15/09/2016 12:02 ;4.990,0
Dom ;2.849 ;19/09/2016 09:44 ;11.739,57
Dom ;2.855 ;19/09/2016 10:52 ;4.485,62
Cash ;441 ;21/09/2016 13:40 ;27.084,84
Cash ;442 ;21/09/2016 13:49 ;34.338,42
Cash ;443 ;21/09/2016 13:53 ;4.763,77
Cash ;444 ;21/09/2016 13:59 ;14.280,0
Cash ;595 ;07/12/2016 18:37 ;6.155,63
Cash ;596 ;07/12/2016 18:38 ;9.478,96
Dom ;3.358 ;12/12/2016 16:31 ;15.634,59
Cash ;622 ;20/12/2016 17:20 ;1.536,0
Dom ;3.414 ;20/12/2016 17:22 ;3.072,0
Cash ;714 ;15/02/2017 12:21 ;23.330,16
Dom ;3.632 ;15/02/2017 12:22 ;7.130,17
Dom ;3.633 ;15/02/2017 12:22 ;16.199,99
Cash ;841 ;18/04/2017 18:00 ;10.165,44
Cash ;849 ;25/04/2017 09:30 ;6.081,46
Cash ;850 ;25/04/2017 09:30 ;6.921,2
Cash ;851 ;25/04/2017 09:31 ;8.166,81
Dom ;3.959 ;25/04/2017 09:34 ;21.169,47
Dom ;4.294 ;23/06/2017 12:46 ;1.458,04
Dom ;4.330 ;06/07/2017 09:34 ;3.537,14
Cash ;1.014 ;06/07/2017 09:36 ;1.499,5
Cash ;1.015 ;06/07/2017 09:36 ;2.037,64
Cash ;1.068 ;25/07/2017 16:37 ;-9.249,84
Cash ;1.126 ;21/08/2017 10:33 ;13.283,7
Dom ;4.794 ;29/09/2017 09:29 ;3.123,93
Cash ;1.228 ;10/10/2017 12:33 ;1.958,0
Cash ;1.401 ;11/12/2017 09:21 ;6.546,83
Dom ;5.244 ;11/12/2017 09:22 ;6.556,65
Cash ;1.588 ;28/02/2018 16:33 ;1.579,85
Cash ;1.734 ;25/04/2018 17:36 ;367,87
Cash ;1.735 ;25/04/2018 17:37 ;843,0
Cash ;1.812 ;30/05/2018 12:21 ;6.858,7
Cash ;1.813 ;30/05/2018 12:22 ;6.858,7
Dom ;6.110 ;30/05/2018 12:28 ;6.858,7
